evtime_ymd,evtime_hms,evlat,evlon,evdep,Mg
20030620,11191338,33.1645,244.366,1.45,2.4
20030620,16090004,33.8975,242.9345,15.18,2.4
20030621,22500904,33.2255,243.842,7.19,2.5
20030621,22505250,33.2198,243.8495,10.35,2.6
20030626,15500252,33.7502,242.9327,14.54,2.2
20030628,04050801,34.011,242.766,11.33,2.4
20030628,13545473,34.0113,242.7665,10.07,2.8
20030629,06100942,33.169,244.3598,1.35,2.4
20030703,17524788,33.2447,243.7287,11.95,2.2
20030705,06102526,33.9147,243.3008,13.96,2.5
20030706,04004105,33.355,243.6148,14.53,2.2
20030708,13501994,34.0342,242.407,5.21,2.2
20030708,18532420,34.1062,242.6727,17.47,2.3
20030710,02260436,33.2587,243.6153,11.36,2.5
20030715,00570083,33.8013,243.9078,5.63,2.2
20030717,23152942,33.0433,243.5547,8.84,2.7
20030719,08482360,34.3128,243.1472,5.73,2.2
20030719,18345944,33.8463,242.173,9.59,2.3
20030725,08464678,33.1842,244.4148,0.25,2.4
20030728,20082876,33.0258,243.985,5.54,2.9
20030801,19064948,33.3125,244.2697,7.33,3.0
20030805,09320512,34.0417,242.7593,17.18,2.2
20030806,03201951,34.4582,243.5102,3.45,2.2
20030807,17055320,33.8015,243.816,7.19,2.3
20030807,19572272,34.199,242.4448,4.9,2.3
20030809,04030628,33.377,243.5847,13.18,2.3
20030809,06382083,33.3757,243.0685,13.94,2.5
20030812,06440838,33.1678,244.3498,3.32,2.3
20030813,14123903,32.8863,243.7547,9.24,2.2
20030814,20385624,34.0302,242.4365,8.43,2.3
20030815,14573258,33.5097,243.535,6.45,2.4
20030816,02534377,34.2618,242.4335,4.98,2.8
20030816,10433178,33.9978,242.811,12.23,2.5
20030819,20075736,32.724,243.9792,14.73,3.0
20030819,20483276,34.3418,242.3757,9.8,2.3
20030820,00314789,33.2568,243.693,13.33,2.2
20030822,14085144,32.8905,243.7513,9.79,2.5
20030825,09224112,33.931,243.2095,12.4,2.2
20030826,02430013,33.944,243.2533,18.83,2.4
20030830,20013308,32.9537,244.1857,4.25,2.5
20030902,01464958,33.4532,243.4513,9.96,2.2
20030904,03242030,34.1427,242.952,7.77,2.3
20030906,10292440,34.0193,242.8947,18.01,2.5
20030906,10301976,34.0195,242.8958,18.79,2.3
20030910,15274024,33.3165,243.6398,14.61,3.1
20030914,02323058,33.7602,243.9718,5.58,3.0
20030915,00204837,33.1805,244.3952,1.64,3.0
20031003,11290397,34.31,243.1643,7.69,2.7
20031003,22402596,33.6487,243.2633,13.82,2.4
20031004,19262312,33.2172,243.8472,12.04,3.0
20031007,17213236,33.216,243.9172,8.11,2.2
20031009,07335543,33.4098,243.5967,12.46,3.1
20031010,02273588,34.2268,243.5502,1.71,3.5
